Date,BTC_Daily_Return,LINK_Daily_Return,Rolling_30_Day_Correlation
2018-10-08,0.788463,1.671923,0.4352739863298093
2018-10-09,-0.156919,-1.138171,0.45295929498988213
2018-10-10,-0.824667,2.519512,0.4407602095398321
2018-10-11,-5.017657,-12.736869,0.597116001383805
2018-10-12,0.566255,2.702521,0.6122316422543129
2018-10-13,0.125996,2.220795,0.5879160157613392
2018-10-14,0.0388,1.745367,0.5898253724824744
2018-10-15,4.82945,4.108388,0.5735638053554217
2018-10-16,-0.08029,5.505098,0.5640990407639317
2018-10-17,-0.699335,4.718278,0.5454071797253434
2018-10-18,-1.003008,0.200987,0.5322052388859378
2018-10-19,-0.195423,-3.680594,0.5745058437587934
2018-10-20,0.437554,2.554421,0.5517718695475711
2018-10-21,-0.119255,0.496819,0.6033416562118948
2018-10-22,0.017119,5.831664,0.6017532362021628
2018-10-23,0.052228,12.162653,0.5499962625512868
2018-10-24,0.261614,-5.273377,0.5161583268867316
2018-10-25,-0.128918,6.064751,0.4952155261254791
2018-10-26,0.097551,-1.473149,0.4887785980056138
2018-10-27,-0.007097,2.585388,0.5308915987352213
2018-10-28,0.057538,-0.887288,0.5262940627777085
2018-10-29,-2.460129,-4.537652,0.5503611436738146
2018-10-30,-0.043712,7.719058,0.5373584979346394
2018-10-31,-0.305829,11.751177,0.49347419109800256
2018-11-01,0.943943,0.655015,0.4817295498788519
2018-11-02,0.149242,-2.904999,0.46469091242190314
2018-11-03,-0.406756,8.179968,0.44205705634844783
2018-11-04,0.167461,-6.871086,0.404331082088643
2018-11-05,0.880631,-4.284233,0.3691017145108555
2018-11-06,0.429477,0.507817,0.36823995245001023
2018-11-07,0.952928,-0.467174,0.35742253521153267
2018-11-08,-1.051011,3.358066,0.3452377811502578
2018-11-09,-0.884425,-0.487584,0.35488206542635536
2018-11-10,0.36157,5.715169,0.06526104263876961
2018-11-11,-0.036795,-2.076126,0.0653044503679546
2018-11-12,-0.631492,9.911805,0.02769526428602933
2018-11-13,-0.214958,3.340277,0.0255431600686964
2018-11-14,-9.649928,-6.273279,0.24876010210110103
2018-11-15,-1.536224,-1.063284,0.2537319799018069
2018-11-16,-1.235891,-4.755773,0.267101045322705
2018-11-17,-0.434698,-5.613533,0.25755102846881484
2018-11-18,1.147532,7.842161,0.29102581909996045
2018-11-19,-13.330705,-21.77051,0.6178165852285191
2018-11-20,-8.471751,-16.333451,0.6831738974465852
2018-11-21,3.05965,7.54435,0.6948266716776843
2018-11-22,-5.326383,-6.396594,0.7175786241965926
2018-11-23,-0.311655,-3.288868,0.7287331414079897
2018-11-24,-10.739725,-13.656069,0.7596626133949047
2018-11-25,3.328968,-8.809132,0.6881800947506199
2018-11-26,-5.876365,9.209887,0.6041887191799361
2018-11-27,1.454348,1.400151,0.6068453213274652
2018-11-28,11.378767,14.966532,0.6650973176451221
2018-11-29,0.230552,3.927322,0.6697537312824188
2018-11-30,-6.337484,-6.536383,0.6932794693073601
2018-12-01,4.726282,3.062843,0.6933357316571304
2018-12-02,-1.448687,-4.989276,0.6949756354730954
2018-12-03,-6.10497,-9.163269,0.7133923864369803
2018-12-04,1.816611,0.076145,0.7263402665403889
2018-12-05,-5.175684,-10.168068,0.7418849613761637
2018-12-06,-6.205861,-13.247107,0.7485066160012729
2018-12-07,-2.637742,-2.584041,0.749184244024476
2018-12-08,1.584038,5.454189,0.7560041298820778
2018-12-09,4.059821,5.225032,0.7627523422497212
2018-12-10,-3.028488,-8.598895,0.7609609440744395
2018-12-11,-2.086216,1.782867,0.7584912256661605
2018-12-12,1.914153,2.339612,0.7784557848712381
2018-12-13,-4.9945,-9.380232,0.7818328921410805
